,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
235,멸망한 세계의 기억을 담아온 회귀자,판타지,카카비,433.8만,"전체 4,023",전체 264,22.06.03,23.02.24,9.1
236,이세계 존버킹 생존좌 [완결],판타지,레드풋,11.3만,전체 56,전체 201,22.12.20,22.12.30,9.8
237,랭커의 귀환,판타지,영비람,1.9억,전체 8.1만,"전체 1,002",16.08.08,19.10.14,9.9
238,검은 늑대 [단행본],판타지,K.석우,8.7만,전체 3,전체 25,23.03.21,23.03.21,9.7
239,조선에는 쿠데타가 필요해요,판타지,앙금고라니,54.3만,"전체 1,186",전체 551,23.11.20,24.06.26,9.6
240,망겜 속 야만전사,판타지,보헴,168.3만,"전체 2,103",전체 333,23.04.03,24.02.19,9.8
241,나 홀로 로그인,판타지,토이카,"3,768.2만",전체 2.4만,전체 260,17.07.31,18.01.16,9.8
242,무한 리셋 마법사,판타지,이르스,33.6만,전체 552,전체 201,23.11.20,24.05.03,9.8
243,만렙 농부의 무한 꿀파밍,판타지,유동우,469.3만,"전체 5,526",전체 225,20.07.06,20.11.08,9.5
244,황룡의 비상,판타지,이윤규,76.7만,전체 381,전체 375,19.05.31,20.01.10,9.0
245,검술 명가의 마왕님,판타지,율무,"1,013.4만","전체 8,601",전체 247,21.08.09,22.04.29,9.8
246,위저드 스톤,판타지,이경훈,420.3만,"전체 9,054",전체 735,16.08.08,24.06.18,9.6
247,거래로 강해지는 헌터님,판타지,전정현,268.1만,"전체 5,304",전체 221,22.02.05,22.06.24,9.2
248,소환사는 현질을 한다,판타지,고랭지,116.8만,전체 562,전체 276,22.08.19,22.12.28,8.3
249,1217 고려 3군단,판타지,뜨락에,62.6만,전체 366,전체 354,20.11.17,20.11.17,9.1
250,강남 퇴마사 [완결],판타지,서인하,34.2만,전체 504,전체 175,19.07.12,19.07.12,9.8
251,쿠킹 로드,판타지,최재순,22.2만,전체 203,전체 216,24.01.05,24.06.26,9.6
252,만호에서 황제까지,판타지,암여파더,13.8만,전체 29,전체 300,23.11.16,24.02.28,9.0
253,최강 암살자가 듀얼 클래스로 귀환했다,판타지,공플이,213.1만,"전체 1,014",전체 250,22.03.19,22.09.16,9.6
254,칭호를 빌려드립니다,판타지,비아크론,251.8만,"전체 2,848",전체 276,22.06.07,23.02.25,9.8
255,단종이 너무 강함,판타지,탈닌,34.3만,전체 261,전체 226,23.08.20,23.08.23,9.9
256,괴물 같은 몬스터 마스터,판타지,펩티드,24.7만,전체 44,전체 285,22.10.19,22.10.19,9.8
257,흑막이지만 세계 평화가 소원입니다,판타지,쏜윗,1.5만,전체 5,전체 551,24.06.10,24.06.10,9.2
258,위대한 혈통의 천재 사생아,판타지,자동쓰기,25.1만,전체 84,전체 197,23.09.08,23.12.14,9.2
259,재벌에서 광복군까지,판타지,빛나는구름,32.6만,전체 419,전체 424,23.10.16,24.06.26,9.9
260,차원을 넘는 연금술사,판타지,Equipment,399.4만,"전체 4,499",전체 300,21.10.07,22.08.11,9.6
261,미친 헌터가 너무 강함 [완결],판타지,글국,17.6만,전체 32,전체 245,22.08.12,22.08.29,9.4
262,19금,판타지,19금,19금,19금,19금,19금,19금,19금
263,대한제일검의 게임 스트리밍,판타지,후부키,4.7만,전체 28,전체 89,24.05.27,24.06.26,9.9
264,고려는 천조국이 되기로 하였습니다,판타지,소라게,6.1만,전체 9,전체 280,24.03.26,24.03.26,10.0
265,작전명 : 귀향,판타지,안민혁,88.1만,전체 852,전체 300,20.01.17,20.07.21,8.9
266,멸망한 세상 다 내꺼!,판타지,골든아공간,20.8만,전체 205,전체 225,23.12.01,24.02.18,9.2
267,공작가의 미친놈,판타지,유현s,443.3만,"전체 3,903",전체 265,22.06.15,23.03.03,9.5
268,만석꾼,판타지,구사,124.4만,전체 613,전체 258,18.04.27,18.04.27,9.8
269,대공가의 사생아가 검술을 훔침,판타지,아다따뚜겐,6.2만,전체 212,전체 189,24.02.14,24.05.20,10.0
270,패륜으로 시작하는 조선생활,판타지,고스름도치,18.5만,전체 100,전체 200,24.01.19,24.01.19,9.9
271,몰락명가에 환생한 재앙급 미친마법사,판타지,백연리,3.3만,전체 71,전체 68,24.06.17,24.06.27,9.9
272,"삼국지, 만인지적 장비로 빙의했다.",판타지,신지님,5.9만,전체 7,전체 282,24.05.30,24.06.09,9.8
273,왕자가 친구를 사귀는 방법,판타지,은비한,188.8만,"전체 5,173",전체 357,22.12.20,24.06.03,10.0
274,몽골에서 유럽까지[연재],판타지,Cheezy,97만,"전체 1,488",전체 370,20.04.06,20.12.11,9.3
275,이세계 플레이어,판타지,일황,"2,087만",전체 1.2만,전체 218,17.10.30,18.04.08,9.8
276,19금,판타지,19금,19금,19금,19금,19금,19금,19금
277,히틀러가 되었다,판타지,종이호랑이,59.5만,전체 891,전체 366,23.10.25,24.04.16,9.7
278,19금,판타지,19금,19금,19금,19금,19금,19금,19금
279,강화학개론 [완결],판타지,빈형,"3,661.4만",전체 1.8만,전체 363,16.08.02,17.03.24,9.8
280,초월자의 검,판타지,장백산,8.1만,전체 9,전체 175,20.03.26,20.03.26,9.5
281,환생의 정석,판타지,김평범,"1,158.4만","전체 9,261",전체 184,21.05.28,21.08.20,9.7
282,내 소환수는 천만 대군,판타지,무야호우,45.1만,전체 324,전체 201,22.02.09,22.02.09,9.6
283,던전에서 살아온 남자,판타지,파란영,13.1만,전체 25,전체 202,23.10.23,23.10.23,9.6
284,삼국지 원담전 : 일합무적 [완결],판타지,무적무술,17.8만,전체 144,전체 175,21.04.16,21.05.17,7.8
285,제국의 창고지기 [완결],판타지,Rovin,39.2만,전체 304,전체 268,22.05.19,22.05.24,10.0
286,삼국지-태평비술전,판타지,푸달,2.7만,전체 1,전체 203,24.06.10,24.06.20,10.0
287,게임 마인드의 중세 현대인,판타지,하드폭발,8만,전체 258,전체 264,24.03.18,24.06.21,9.7
288,증기조선,판타지,세래,22.7만,전체 112,전체 305,23.10.06,24.06.26,9.3
289,삼국지 : 미완의 군주,판타지,오리형,65.6만,전체 617,전체 596,21.07.12,24.06.26,9.2
290,4서클 마법사의 회귀,판타지,맥치,14.7만,전체 30,전체 137,22.04.21,22.10.04,9.5
291,무과금으로 랭킹 1위가 되는 법,판타지,바난트,71.7만,전체 562,전체 250,23.05.22,24.01.07,9.3
292,내 집 아래 경험치 800% 지하던전,판타지,아길론,256.1만,"전체 1,680",전체 202,21.01.22,21.05.18,9.2
293,레벨업 하는 일인군단,판타지,산신령,448.5만,"전체 4,388",전체 240,19.12.27,20.05.02,9.4
294,태왕 남생,판타지,정명섭,99.7만,전체 443,전체 274,22.08.19,23.05.01,9.7
295,[개정판] 술 마시고 스탯업,판타지,홍우진,5.7만,전체 44,전체 205,23.03.20,23.05.26,9.1
296,헌터 영업사원 오비환 [완결],판타지,노오력.,31.5만,전체 294,전체 231,21.04.05,21.06.15,9.9
297,킬러의 이계는,판타지,김기세,695.8만,"전체 4,468",전체 275,17.09.08,18.04.23,9.8
298,1874 대혁명,판타지,다물,300.6만,"전체 1,946",전체 575,16.03.22,17.03.16,6.9
299,조선전력공사 [완결],판타지,영협,31.5만,전체 258,전체 275,22.12.01,22.12.28,8.8
300,조선 수군이 되었다.,판타지,케이도깨비,13.7만,전체 59,전체 400,23.08.28,23.08.28,9.8
301,신 내린 명품 디자이너,현대판타지,신줏단지,210.1만,"전체 1,495",전체 134,24.05.20,24.06.26,9.6
302,데뷔 못 하면 죽는 병 걸림,현대판타지,백덕수,5.6억,전체 138만,전체 644,21.01.11,23.05.05,10.0
303,1년차 만렙 매니저,현대판타지,현신,2.1억,전체 11.7만,"전체 1,509",20.03.06,24.06.26,9.7
304,망나니 천재 작곡가 회귀하다,현대판타지,글승이,"2,007.1만",전체 1.3만,전체 469,23.04.28,24.06.26,9.7
305,닥터 최대호,현대판타지,조석호,"1,484.4만","전체 7,757",전체 266,24.03.28,24.06.27,9.7
306,닥터 최태수,현대판타지,조석호,10.6억,전체 50.5만,"전체 3,851",15.06.06,21.05.31,9.9
307,19금,현대판타지,19금,19금,19금,19금,19금,19금,19금
308,이번 생은 우주대스타,현대판타지,손윤,1.9억,전체 27.9만,"전체 1,284",19.09.30,24.06.26,10.0
309,이번 생은 재벌로 살겠습니다,현대판타지,남풍,21만,전체 47,전체 122,24.06.17,24.06.26,9.3
310,갓 오브 블랙필드 : 데드라인,현대판타지,무장,2.7억,전체 15.9만,전체 846,14.11.25,23.10.30,9.9
311,회귀 경찰의 리셋 라이프,현대판타지,한길,"8,122.4만",전체 3.4만,"전체 1,039",21.07.02,24.02.12,9.6
312,경영은 됐고 돈만 쓰고 싶습니다,현대판타지,김태형,"1,002.2만","전체 4,970",전체 250,24.01.06,24.06.26,9.7
313,19금,현대판타지,19금,19금,19금,19금,19금,19금,19금
314,이 집안을 일으켜세우겠습니다!,현대판타지,글로노동자,"2,868.9만",전체 1.3만,전체 636,22.08.02,24.05.27,9.5
315,국정원 요원 천재배우로 환생,현대판타지,류연우,"3,433.6만",전체 2.6만,전체 592,22.09.22,24.06.25,9.9
316,능력 있는 한의사가 다 고침,현대판타지,노룽지,"1,232.7만","전체 8,914",전체 416,23.05.04,24.06.26,9.9
317,이것이 법이다,현대판타지,자카예프,1.5억,전체 6.7만,"전체 4,601",16.02.22,24.06.26,9.7
318,스포츠명가의 미친 피지컬 천재,현대판타지,플라이스,239.4만,전체 947,전체 135,24.05.08,24.06.26,9.0
319,미국 씹어먹는 야구 천재,현대판타지,글생글사,"1,472.9만","전체 5,354",전체 473,23.07.26,24.06.26,9.2
320,말단 사원이 너무 유능함,현대판타지,네시십분,"2,253.6만","전체 9,113",전체 639,22.11.12,24.06.26,9.9
321,독식하는 재벌 3세,현대판타지,서오,"2,527.8만","전체 5,613",전체 603,23.06.13,24.06.26,9.3
322,스카우트가 야구를 제일 잘함,현대판타지,콤마일초,373.6만,"전체 1,718",전체 230,23.12.21,24.06.26,9.7
323,7부 리그에서 발롱도르까지,현대판타지,라이즈리얼,28.1만,전체 168,전체 115,24.05.24,24.06.26,9.7
324,마존현세강림기,현대판타지,월백,4.4억,전체 18.6만,"전체 2,135",16.07.12,22.02.05,9.3
325,야구단 신입이 너무 잘함,현대판타지,모루우,"1,449.5만","전체 8,089",전체 413,23.04.04,24.06.26,9.8
326,악성 멤버가 돌아왔다!,현대판타지,무농약홈런,596.5만,"전체 6,546",전체 298,23.08.29,24.06.26,9.9
327,외과 의사가 된 화타,현대판타지,박동신,"4,044.3만",전체 3만,전체 559,22.01.28,24.05.23,9.7
328,초심 잃은 아이돌을 위한 회귀 백서,현대판타지,리벨,"1,679.9만",전체 3.2만,전체 380,23.05.15,24.06.26,10.0
329,저승식당,현대판타지,형상준,1.4억,전체 10.1만,"전체 1,080",19.03.18,23.10.22,9.9
330,딸 바보가 되었습니다,현대판타지,기우,"8,464만",전체 8.5만,"전체 1,234",20.02.20,24.06.26,9.8
331,0살부터 슈퍼스타,현대판타지,북그곰,"3,888.3만",전체 6.5만,"전체 1,214",19.12.03,24.04.17,9.9
332,회귀자 멱살 잡고 데뷔합니다,현대판타지,제르메,"1,659.7만",전체 2.9만,전체 376,23.05.15,24.06.26,10.0
333,필드의 전생자,현대판타지,에에에,258.8만,"전체 1,220",전체 220,24.02.20,24.06.26,9.1
334,너희들은 변호됐다,현대판타지,백산,"1,705.2만",전체 2.1만,전체 655,19.10.01,24.06.26,9.8
335,복수하는 김에 아이돌 탑 먹겠습니다,현대판타지,픡싁,837.2만,전체 1.8만,전체 359,23.05.18,24.06.26,9.9
336,이번 생은 악녀 말고 배우로 죽겠습니다,현대판타지,돈버는삐약이,519.6만,"전체 4,918",전체 274,23.09.18,24.06.06,9.9
337,화살표가 보여,현대판타지,생착률95,263.6만,"전체 1,053",전체 291,23.11.03,24.06.26,9.7
338,천재 음유시인의 음악방송,현대판타지,꾸뻬,204.1만,"전체 1,089",전체 200,24.02.20,24.06.01,9.7
339,장남은 축구가 간절하다,현대판타지,네딸아빠,"1,982.7만","전체 9,568",전체 401,23.01.20,24.04.12,9.3
340,아역부터 월드스타!,현대판타지,테헤,"2,989.6만",전체 5.1만,전체 846,21.05.17,24.06.25,9.9
341,피지컬 천재배우,현대판타지,글디,322.6만,"전체 1,615",전체 200,24.01.26,24.06.26,9.5
342,야구는 나쁜 놈이 잘한다,현대판타지,전율,662.8만,"전체 2,057",전체 281,23.12.08,24.06.26,9.5
343,이번 생은 빌런이다,현대판타지,글빌런,"1,194만","전체 3,739",전체 499,22.11.17,24.06.26,9.5
344,의원님이 보우하사,현대판타지,김현빈,"2,903.1만",전체 3.9만,전체 857,21.06.21,24.04.11,9.9
345,망나니 PD 아이돌로 살아남기,현대판타지,문찐,"5,596.7만",전체 12.7만,전체 489,21.10.15,23.10.13,10.0
346,"어서오세요, 힐링식당입니다",현대판타지,봉공(鳳公),312.7만,"전체 1,792",전체 161,24.03.16,24.06.26,9.1
347,"투수 끝, 타자시작 [완결]",현대판타지,신원미상자,61.6만,전체 164,전체 286,20.07.09,21.02.22,8.7
348,예고의 미술 천재가 되었다,현대판타지,유빙(流氷),818.8만,"전체 6,204",전체 279,23.10.26,24.06.26,9.9
349,법보다 주먹 [개정판],현대판타지,강산(江山),"4,094.6만",전체 1.4만,전체 680,15.12.23,24.05.02,9.8
350,프랜차이즈 갓,현대판타지,실탄,"2,464.7만",전체 3.5만,"전체 1,659",19.11.04,24.06.26,9.1
351,검찰청 망나니,현대판타지,네시십분,"2,345.7만",전체 1.9만,전체 489,21.02.17,22.04.29,9.9
352,다섯 번째 바이탈,현대판타지,왕벌&Dr.곰,"1,366.5만",전체 1.2만,전체 719,21.09.28,24.06.27,9.8
353,불행을 몰고 오는 천재 배우,현대판타지,단웅,"1,457.6만",전체 2.3만,전체 536,22.09.20,24.06.26,9.9
354,빌어먹을 아이돌,현대판타지,샤이나크,673.1만,"전체 9,416",전체 234,24.01.28,24.06.26,9.1
355,천재 아이돌인데 패시브가 개복치,현대판타지,에츠,"1,770.2만",전체 3.1만,전체 523,22.02.14,24.04.05,9.9
356,상냥한 아이돌 리더가 되기 위한 조건,현대판타지,김마울,249.2만,"전체 8,233",전체 223,24.01.19,24.06.26,9.9
357,다시 한번 아역부터 슈퍼스타,현대판타지,재화룡,375.2만,"전체 2,277",전체 306,23.09.07,24.06.26,9.9
358,천직이 프로파일러,현대판타지,자카예프,310.2만,"전체 1,046",전체 725,23.05.07,23.11.25,9.9
359,흙수저 막내아들,현대판타지,아버지,754.5만,"전체 4,932",전체 305,23.08.23,24.06.26,9.8
360,알고 보니 재벌 3세,현대판타지,달빛물든,"4,792만",전체 2.8만,전체 878,19.11.01,24.06.26,9.6
361,우리 지검 평검사는 최대 형량,현대판타지,달빛물든,567.8만,"전체 2,768",전체 410,18.10.16,24.06.26,9.7
362,머실리스 : 무법지대,현대판타지,외투,445만,"전체 4,642",전체 253,18.01.16,18.06.15,9.9
363,스파이 능력으로 글로벌 톱배우,현대판타지,풀드로우,2.2만,전체 7,전체 194,24.06.24,24.06.26,10.0
364,만렙 닥터 리턴즈,현대판타지,13월생,"1,181.1만",전체 1.2만,전체 407,21.09.15,23.02.01,9.6
365,깜빵에서 재벌까지!,현대판타지,베이스,"1,313만",전체 1만,전체 452,21.07.19,22.08.02,9.0
366,미국 깡촌의 천재 작가,현대판타지,돌리앗,10.7만,전체 94,전체 414,24.05.13,24.06.26,9.8
367,19금,현대판타지,19금,19금,19금,19금,19금,19금,19금
368,검은머리 미군 대원수,현대판타지,명원(命元),639.9만,"전체 3,978",전체 583,23.01.10,23.05.17,9.9
369,기레기는 대배우가 되기로 했다,현대판타지,내용증명,"1,201만",전체 1.5만,전체 452,21.04.21,22.11.23,9.8
370,신인인데 천만배우,현대판타지,배뿌,"1,402.2만",전체 1.6만,전체 361,21.02.02,22.01.03,10.0
371,변호사 윤진한,현대판타지,이해날,194.9만,전체 744,전체 251,23.05.10,23.05.10,9.4
372,무공 쓰는 외과 의사,현대판타지,윤백현,"3,701.3만",전체 2.1만,전체 540,22.04.15,23.10.09,9.5
373,눈 감고 3점 슛,현대판타지,로수,350.7만,"전체 3,677",전체 295,23.10.12,24.06.26,10.0
374,차원이 다른 대표님,현대판타지,사고뭉치,521만,"전체 2,330",전체 300,23.10.06,24.04.12,9.6
375,회귀했더니 입대 전날,현대판타지,에바트리체,"1,990.6만",전체 1.3만,전체 529,19.08.14,20.07.05,9.7
376,전직 망돌이 탑스타 된 썰 푼다,현대판타지,동전파스,36.4만,전체 408,전체 127,24.05.24,24.06.26,9.8
377,개과천선 배우님,현대판타지,플라이스,417.2만,"전체 2,559",전체 200,21.04.21,21.07.31,9.7
378,천재 아이돌의 2회차 무대,현대판타지,E날다람주i,98.1만,"전체 1,160",전체 151,24.04.26,24.06.27,9.7
379,19금,현대판타지,19금,19금,19금,19금,19금,19금,19금
380,난 할 수 있어,현대판타지,김현빈,"2,387.8만",전체 2.2만,전체 556,19.04.28,20.04.14,9.7
381,절대 실패하지 않는 아이돌의 기술,현대판타지,동울,997.2만,전체 2.1만,전체 440,22.03.18,23.08.15,10.0
382,덕질하는 음악천재,현대판타지,강선우,42.3만,전체 416,전체 221,24.02.26,24.04.17,9.6
383,청기와집 막내아들,현대판타지,서야(書夜),"1,211.6만",전체 1.1만,전체 426,20.02.19,20.12.16,9.3
384,경찰청 미친개가 회귀했다,현대판타지,이한성,823.7만,"전체 2,996",전체 275,23.08.29,24.05.09,9.6
385,방송천재 막내작가,현대판타지,유빙(流氷),"1,854.8만",전체 2.1만,전체 359,21.01.22,24.05.17,9.9
386,이번 생은 아역부터,현대판타지,마늘소금,"4,533.2만",전체 5만,전체 956,20.09.25,24.03.29,9.9
387,방 밖으로 나온 천재 보컬,현대판타지,천로,120.2만,"전체 1,142",전체 141,24.04.19,24.06.26,9.9
388,망돌 1군 만들기 프로젝트,현대판타지,당가약과,"1,268.5만",전체 3만,전체 537,22.09.06,24.06.25,9.9
389,음악천재의 힐링 라이프,현대판타지,라모,8만,전체 186,전체 251,24.06.19,24.06.26,10.0
390,다신 안 해,현대판타지,한길,351.6만,"전체 1,174",전체 325,20.03.05,20.03.05,9.6
391,블랙 듀티,현대판타지,류진,"1,425.4만","전체 7,810",전체 502,16.02.12,17.12.22,9.6
392,천재 투수가 170km를 숨김,현대판타지,단팥빵소년,4.2만,전체 2,전체 412,24.06.20,24.06.20,9.7
393,성공시대,현대판타지,강동호,"2,073.8만","전체 8,493","전체 1,006",16.02.03,17.09.11,8.0
394,1살부터 의사 생활,현대판타지,윤백현,602.3만,"전체 2,657",전체 257,21.11.26,21.11.26,9.8
395,5선발이 갑자기 잘 던짐,현대판타지,먕그,12.9만,전체 16,전체 178,24.04.15,24.06.26,9.8
396,수의사님! 안녕하세요?,현대판타지,서건주,"1,809.3만",전체 1.3만,전체 557,22.12.15,24.06.26,9.9
397,대망,현대판타지,강동호,"1,781.5만","전체 7,840","전체 1,002",16.06.09,19.08.29,8.7
398,고졸순경이 경찰청장 되기,현대판타지,해황,510.7만,"전체 5,307","전체 1,917",20.09.15,24.06.26,9.9
399,시발(始發)의 배우님,현대판타지,노바마,121.7만,"전체 1,874",전체 248,24.01.29,24.06.26,9.9
