,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
121,선독점 천재 컬렉터는 주목이 부담스럽다,"현대판타지, 퓨전",wjyn,2024.02.21 11:56,2024.06.25 15:00,92 회,"613,446","15,460","487,164","3,922"
122,선독점 검마회귀록,"무협, 퓨전",정석연재,2024.03.12 03:08,2024.06.24 23:12,79 회,"659,253","13,036","475,500","2,426"
123,선독점 환생했더니 불에 미친 정령사가 되었다,"판타지, 퓨전",진유(眞鍮),2024.03.31 11:04,2024.06.25 12:00,74 회,"899,199","23,643","432,046","6,190"
124,선독점 불로불사로 산다는 것은,"판타지, 퓨전",겨울에어컨,2023.05.10 10:22,2024.06.24 11:20,195 회,"1,266,640","58,085","1,114,741","12,024"
125,선독점 근본있는 소드마스터,"판타지, 퓨전",.로튼애플.,2024.02.21 15:31,2024.06.25 02:49,122 회,"964,647","23,608","652,856","5,277"
126,선독점 해양을 지배하는 각성자,"현대판타지, 퓨전",소보로설,2022.07.17 13:05,2023.01.15 12:00,200 회,"1,464,943","31,860","1,094,744","6,311"
127,선독점 EX급 재능으로 기계신(Deus ex machina),"현대판타지, 퓨전",범미르,2024.02.09 15:22,2024.06.24 20:00,135 회,"1,559,464","33,193","855,988","6,491"
128,선독점 리부트 : 형이 힘을 숨김,"현대판타지, 퓨전",용용드래곤,2023.12.01 15:01,2024.06.25 00:00,182 회,"1,004,664","27,792","987,941","3,936"
129,선독점 판타지 속 천재 기사로 살아가는 법,"판타지, 퓨전",절필방지,2023.12.26 14:40,2024.06.24 19:31,138 회,"1,774,205","36,701","828,828","7,576"
130,선독점 재벌가 사생아의 인생 2회차,"현대판타지, 퓨전",휴화산,2024.03.13 16:47,2024.06.24 21:00,94 회,"743,545","11,975","528,707","2,517"
131,선독점 무인도에서 맞이하는 아포칼립스,"현대판타지, 퓨전",호영(虎永),2022.05.11 10:20,2023.05.26 20:00,274 회,"4,324,540","170,554","1,715,848","19,240"
132,선독점 빌어먹을 환생,"퓨전, 판타지",목마,2020.08.17 12:00,2023.01.21 12:00,626 회,"12,374,240","418,607","4,902,344","40,288"
133,선독점 톡 대화가 다 보임,"현대판타지, 퓨전",연군,2024.04.11 20:03,2024.06.24 22:40,77 회,"332,054","5,920","511,766","1,495"
134,선독점 여배우는 회귀 PD를 좋아해!,"현대판타지, 퓨전",요람(搖籃),2023.06.12 20:00,2024.06.24 20:00,392 회,"1,438,181","27,012","2,606,044","4,626"
135,선독점 국가실세급 은퇴 삼촌의 영약급 농장 대박,"현대판타지, 퓨전",크라우트,2023.12.02 13:52,2024.06.15 20:05,201 회,"349,155","7,031","1,464,155","1,218"
136,선독점 흑마법사 재벌되다,"현대판타지, 퓨전",대두마신,2022.05.11 14:05,2024.06.24 18:00,494 회,"1,720,799","40,320","3,050,785","5,563"
137,선독점 다시 쓰는 헌터사,"현대판타지, 퓨전",산호초,2018.06.11 08:00,2018.12.19 08:00,200 회,"2,687,565","89,997","1,229,764","10,162"
138,선독점 이발병이 머리를 너무 잘 자름,"현대판타지, 퓨전",에바트리체,2024.01.01 23:57,2024.06.25 15:47,173 회,"543,237","15,838","896,913","2,494"
139,선독점 망겜의 SSS급 헌터,"판타지, 퓨전",글국,2024.03.14 15:34,2024.06.24 19:10,138 회,"515,822","8,769","725,306","2,409"
140,선독점 돈이 나를 너무 좋아한다,"현대판타지, 퓨전",현우001,2023.03.09 18:03,2024.01.12 11:00,252 회,"1,831,217","41,159","1,556,793","7,325"
141,선독점 전능의 눈을 얻었다,"퓨전, 판타지",글첨지,2023.10.20 21:00,2024.06.25 17:00,212 회,"1,492,789","32,722","1,288,416","6,003"
142,선독점 이혼 후 투자재벌,"현대판타지, 퓨전",소모사,2024.04.22 13:28,2024.06.25 09:20,73 회,"504,368","7,704","435,182","2,186"
143,선독점 이세계 산업역군 네크로맨서,"판타지, 퓨전",벼루입니다,2024.01.21 06:56,2024.06.25 10:00,128 회,"739,327","20,714","686,607","3,876"
144,선독점 망겜에 갇힌 고인물,"판타지, 퓨전",체엔,2021.04.13 06:55,2024.06.24 20:59,806 회,"2,301,314","117,379","5,194,325","10,737"
145,선독점 폭군 고종대왕 일대기,"대체역사, 퓨전",리첼렌,2018.08.09 06:00,2020.02.13 06:00,531 회,"12,024,125","360,131","3,857,036","19,891"
