,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
189,역천도 [단행본],무협,비가,(2012.06.05.),(2012.06.05.),15,423,349,7.2
190,탑 매니지먼트,현판,장우산,(2016.10.03.),(2024.06.21.),297,"6,743",728,9.4
191,우아한 환생,로판,이세,(2016.01.04.),(2016.07.21.),93,271,413,9.4
192,아씨는 고시생,로맨스,시밝,(2013.05.22.),(2013.09.02.),26,676,151,8.8
193,데빌게이머 파우스트 [독점],판타지,청빙 최영진,(2016.03.04.),(2018.01.16.),200,785,476,8.8
194,던전 견문록,판타지,글럼프,(2015.12.11.),(2016.08.17.),319,"1,131",288,8.4
195,통하지 않는 그녀,로맨스,이경미,(2016.08.06.),(2017.02.15.),79,183,456,9.4
196,새벽여행자,판타지,남희성,(2014.09.22.),(2015.11.05.),146,444,374,7.5
197,반월의 나라,로판,유오디아,(2014.05.07.),(2014.12.24.),79,255,449,9.3
198,만전춘별사 [외전추가],로판,닻별,(2014.04.03.),(2020.06.29.),92,243,458,9.3
199,19금,19금,19금,19금,19금,19금,19금,19금,19금
200,괴물 포식자,판타지,철순,(2016.04.29.),(2016.10.14.),272,259,245,7.6
201,19금,19금,19금,19금,19금,19금,19금,19금,19금
202,덴마 어나더 에피소드,판타지,dcdc,(2017.04.01.),(2018.03.04.),81,430,256,9.0
203,이매망량애정사,로맨스,수(秀),(2013.05.21.),(2013.10.25.),54,256,23,9.4
204,"조선패설, 밀애",로맨스,월우,(2014.07.03.),(2015.03.12.),86,136,418,9.0
205,차원의 균열 [독점],판타지,황규영,(2015.07.01.),(2016.04.10.),122,667,266,8.6
206,위험한 그의 본심,로맨스,닻별,(2015.11.05.),(2016.05.30.),84,102,334,9.3
207,영혼사무소-귀의 영역,미스터리,디망쉬,(2014.12.01.),(2015.07.24.),70,173,346,9.3
208,뱀파이어의 별,로판,하야시,(2015.12.01.),(2016.07.15.),88,436,487,9.2
209,천마행 [단행본],무협,백보,(2014.12.18.),(2014.12.18.),10,330,600,7.8
210,천마신교 낙양지부,무협,정보석(가을bee),(2016.08.08.),(2020.06.03.),1200,"1,975",297,9.4
211,하얀 늑대들-외전: 전쟁의 주시자 [독점],판타지,윤현승,(2014.12.03.),(2015.03.11.),55,"1,105",986,9.5
212,비정상 로맨스,로맨스,백영옥,(2015.12.01.),(2016.07.26.),88,157,279,8.6
213,세월의 돌 [단행본],판타지,전민희,(2015.07.17.),(2015.09.24.),10,508,"1,771",9.1
214,왕세자의 프러포즈,로맨스,서이나,(2016.09.03.),(2017.02.08.),87,107,444,9.2
215,나는 매력적인 그를 쇼핑했다,로맨스,민재경,(2013.06.04.),(2013.11.22.),51,217,6,9.1
216,19금,19금,19금,19금,19금,19금,19금,19금,19금
217,삼국지 여포전,판타지,박민우,(2016.02.29.),(2022.08.08.),1677,"2,435",261,9.6
218,권왕무적 [단행본],무협,초우,(2014.09.29.),(2014.09.29.),18,287,173,8.5
219,짙은,로맨스,백우시,(2015.01.02.),(2015.07.10.),59,419,524,9.4
220,변혁1990,현판,천지무천,(2014.09.02.),(2020.01.10.),863,669,218,8.2
221,늑대전설 [단행본],현판,K.석우,(2014.12.15.),(2016.12.14.),46,528,299,5.6
222,열왕대전기 [단행본],판타지,강승환,(2014.06.24.),(2014.06.24.),66,209,80,7.3
223,흑객 [독점],무협,만상조,(2014.12.02.),(2015.10.17.),103,175,301,9.2
224,당신의 봄을 찾아드립니다,로맨스,이유주입니다,(2015.10.05.),(2016.06.17.),74,145,435,9.4
225,아나크레온,판타지,김정률,(2013.02.28.),(2014.10.29.),394,341,92,7.1
226,그라운드의 지배자,현판,무장,(2015.11.02.),(2016.05.30.),262,600,182,9.2
227,밥먹고가라,현판,고두열,(2016.09.12.),(2017.10.11.),500,"6,556","1,142",9.7
228,"솔미솔파, 나의 노래",로맨스,조효은,(2016.08.25.),(2016.08.25.),83,598,467,9.5
229,19금,19금,19금,19금,19금,19금,19금,19금,19금
230,일양월음 [독점],무협,골드래빗,(2015.10.07.),(2016.07.31.),150,126,152,7.9
231,올 스탯 슬레이어,판타지,비츄,(2014.11.10.),(2015.03.30.),247,427,258,7.1
232,십자성-전왕의 검,무협,허담,(2015.10.21.),(2017.07.21.),426,72,114,9.1
233,천하제일 의뢰문 [단행본],무협,백보,(2016.03.15.),(2016.03.15.),12,131,151,7.0
234,19금,19금,19금,19금,19금,19금,19금,19금,19금
235,19금,19금,19금,19금,19금,19금,19금,19금,19금
236,계웅삼전기 [단행본],판타지,가우리,(2015.01.21.),(2015.06.15.),6,186,353,9.1
237,전능의 팔찌 [단행본],현판,김현석,(2013.10.08.),(2015.12.23.),53,459,201,4.5
238,작전명 스위트 [독점],로맨스,백묘,(2016.08.04.),(2016.11.03.),83,187,304,9.4
239,21세기 대마법사 [단행본],판타지,김광수,(2014.07.24.),(2014.07.24.),18,286,249,6.0
240,고수 현대생활백서 [단행본],현판,건드리고고,(2013.06.12.),(2013.06.12.),16,217,78,6.5
241,환생마도 [독점],무협,시우,(2013.12.04.),(2015.02.05.),123,113,230,7.7
242,던전 공략 LIVE,판타지,이동열,(2016.10.10.),(2018.06.20.),199,"1,196",432,8.2
243,마검신협,무협,자우,(2015.04.03.),(2019.03.12.),375,228,95,8.5
244,태존비록(怠尊秘錄),무협,비가,(2016.09.26.),(2018.12.05.),725,"12,612",484,8.9
245,구해줘 [독점],현판,김주희,(2013.09.06.),(2014.04.16.),85,284,224,9.1
246,폭염의 용제 [단행본],판타지,김재한,(2013.07.12.),(2013.07.12.),18,374,243,8.2
247,♥달콤한 설레임♥,로맨스,손작가,(2017.09.26.),(2017.10.16.),119,66,181,9.7
248,두 번 사는 플레이어,판타지,더페이서,(2015.02.11.),(2015.10.29.),264,407,200,7.5
