,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
45,선독점 21세기 반로환동전,"무협, 현대판타지",검미성,2021.10.29 19:24,2022.03.25 00:47,104 회,"1,740,460","85,166","636,635","13,293"
46,성진변,"무협, 퓨전",주홍지,2019.02.13 16:31,2020.10.23 07:00,777 회,"115,680","4,953","4,356,202",406
47,선독점 무한내공으로 시작하는 강호 정복기,"무협, 퓨전",고요섬,2024.04.08 21:00,2024.06.24 21:00,79 회,"504,087","11,747","454,054","2,780"
48,선독점 하북팽가 막내아들,"무협, 판타지",무향(武香),2020.01.17 21:30,2020.08.20 17:35,201 회,"3,792,606","84,246","1,151,906","13,955"
49,선독점 내 안에 마교있다,무협,초[류희윤],2019.04.01 10:36,2024.06.25 11:03,458 회,"6,012,268","167,938","3,286,900","15,036"
50,선독점 화산파 역대급 천재,무협,묘엽,2021.05.12 10:18,2022.06.03 01:13,288 회,"2,363,088","62,412","1,484,328","9,681"
51,선독점 대환장 통수 선협전,"퓨전, 무협",탁목조,2020.01.23 07:22,2021.07.08 20:35,500 회,"1,720,822","54,226","2,913,572","3,610"
52,선독점 백리세가 역대급 무공 천재,무협,이온,2024.02.03 12:17,2024.06.25 07:20,111 회,"355,377","6,724","588,986","1,005"
53,선독점 잠룡회귀,"무협, 로맨스",육개장.,2023.11.20 21:25,2024.06.20 21:20,177 회,"663,302","19,335","1,246,199","3,220"
54,선독점 오지랖 넓은 도시 청소부,"현대판타지, 무협",야생화,2023.05.16 22:45,2024.06.24 10:28,198 회,"580,310","11,373","1,109,406",825
55,선독점 2회차 환관이 남성을 되찾음,"무협, 퓨전",노빠꾸맨,2023.01.09 20:20,2023.12.13 20:00,283 회,"2,640,592","91,501","1,648,477","13,489"
56,선독점 동창 살수 전기,무협,남운™,2024.01.08 13:47,2024.06.25 17:00,176 회,"168,207","3,184","894,408",517
57,선독점 중생지마교교주,"무협, 판타지",봉칠월,2019.09.04 15:06,2021.08.26 09:00,"1,390 회","3,327,427","92,819","7,899,195","6,170"
58,선독점 선협소설 속 천재로 살아가는 법,"무협, 판타지",레단,2023.12.18 21:20,2024.06.24 22:06,113 회,"353,183","9,179","650,253","2,041"
59,선독점 환생신의,"무협, 퓨전",미루하,2023.09.14 14:43,2024.04.12 10:56,203 회,"1,389,070","37,903","1,129,211","6,213"
60,선독점 일일전생 일일현생,"무협, 퓨전",안형찬,2019.07.06 12:04,2020.03.20 11:00,248 회,"1,611,696","44,300","1,307,647","4,292"
61,선독점 농로무한 (農路無限),"무협, 판타지",편광(片光),2024.01.30 11:19,2024.06.25 07:00,109 회,"132,021","2,623","564,637",462
62,선독점 야장환생,무협,카페人,2023.09.06 12:50,2024.04.10 22:50,221 회,"2,122,060","51,823","1,259,155","9,018"
63,선독점 강호양조 무림에 술을 풀었다,"무협, 퓨전",돈많을한량,2023.12.01 21:35,2024.06.07 20:00,175 회,"481,320","13,511","918,186","2,288"
64,삼국지 여포전,"대체역사, 무협",박민우,2015.04.09 09:10,2022.08.08 12:00,"1,677 회","5,288,001","170,062","9,900,618","5,994"
65,선독점 천하무적 부채주,"무협, 판타지",차재현,2024.02.25 16:35,2024.06.25 17:00,113 회,"318,228","5,652","602,885","1,153"
66,선독점 창귀무쌍,"무협, 판타지",송장벌레,2023.02.24 12:20,2024.01.21 06:00,350 회,"3,198,653","91,764","1,918,021","13,610"
