,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
3223,궁궐로 간 택배기사-동궁밀서 [선공개],로맨스,랑데올로기,(2024.05.10.),(2024.05.10.),139,111,26,9.1
3224,19금,19금,19금,19금,19금,19금,19금,19금,19금
3225,봉려강산,로맨스,효운,(2024.05.10.),(2024.05.10.),1651,8,좋아요,9.9
3226,봉려강산 1부(5~14권)[단행본],로맨스,효운(曉云),(2024.05.10.),(2024.05.10.),10,0,좋아요,0.0
3227,봉려강산 2부(15~45권)[단행본],로맨스,효운(曉云),(2024.05.10.),(2024.05.10.),31,0,좋아요,0.0
3228,봉려강산 2부(46권)[단행본],로맨스,효운(曉云),(2024.05.10.),(2024.05.10.),1,0,좋아요,0.0
3229,봉려강산 외전[단행본],로맨스,효운(曉云),(2024.05.10.),(2024.05.10.),2,0,좋아요,0.0
3230,봉려강산 1부(1~4권)[단행본],로맨스,효운(曉云),(2024.05.10.),(2024.05.10.),4,0,좋아요,0.0
3231,고십팔랑,로맨스,희행,(2024.05.10.),(2024.05.10.),269,23,좋아요,9.9
3232,19금,19금,19금,19금,19금,19금,19금,19금,19금
3233,잉여불숙 [단행본],로맨스,의천중,(2024.05.10.),(2024.05.10.),10,0,좋아요,9.7
3234,키우던 고양이와 결혼했습니다 [단행본],로판,새벽너울,(2024.05.10.),(2024.05.10.),4,0,좋아요,0.0
3235,가짜인데 왜 이러세요? [선공개],로판,사장님,(2024.05.10.),(2024.05.10.),101,146,6,9.5
3236,"결국, 결혼 [선공개]",로맨스,한사름,(2024.05.10.),(2024.05.10.),81,58,2,9.5
3237,끝이 정해진 사이 [선공개],로맨스,은율아,(2024.05.10.),(2024.05.10.),93,164,9,9.8
3238,결혼의 소실점 [선공개],로맨스,채스카,(2024.05.10.),(2024.05.10.),60,18,좋아요,9.0
3239,태자입희지후,로맨스,암향,(2024.05.10.),(2024.05.10.),672,173,좋아요,8.8
3240,19금,19금,19금,19금,19금,19금,19금,19금,19금
3241,19금,19금,19금,19금,19금,19금,19금,19금,19금
3242,고대로 돌아간 수의사 [단행본],로맨스,희행,(2024.05.10.),(2024.05.10.),8,2,1,10.0
3243,옥당금규,로맨스,한청낙화,(2024.05.10.),(2024.05.10.),354,2,좋아요,9.9
3244,어째서 부부 스캔들 [선공개],로맨스,오묘희,(2024.05.10.),(2024.05.10.),72,114,2,9.8
3245,던전 경영만 했는데 세계관 빌런이 되었습니다 [미니노블],판타지,골드린,(2024.05.10.),(2024.05.10.),100,26,5,8.9
3246,고대로 돌아간 수의사,로맨스,희행,(2024.05.10.),(2024.05.10.),238,89,좋아요,9.1
3247,초후,로맨스,희행,(2024.05.10.),(2024.05.10.),369,28,좋아요,10.0
3248,농녀진주 유한생활[단행본],로맨스,천묵,(2024.05.10.),(2024.05.10.),30,0,좋아요,10.0
3249,난군,로맨스,한청낙화,(2024.05.10.),(2024.05.10.),209,14,좋아요,10.0
3250,묵상,로맨스,한청낙화,(2024.05.10.),(2024.05.10.),451,0,좋아요,10.0
3251,금동,로맨스,한청낙화(闲听落花),(2024.05.10.),(2024.05.10.),464,12,좋아요,9.8
3252,안아줘 그리고 죽여줘 [독점],로판,유연아,(2024.02.14.),(2024.05.10.),122,31,3,9.4
3253,"제발 참아주세요, 폭군님! [선공개]",로판,롸따뚜이,(2024.05.10.),(2024.05.10.),119,7,5,8.9
3254,19금,19금,19금,19금,19금,19금,19금,19금,19금
3255,잉여불숙,로맨스,의천중,(2024.05.10.),(2024.05.10.),309,12,좋아요,10.0
3256,육궁봉화 [외전포함][단행본],로맨스,심조실락적애정,(2024.05.10.),(2024.05.10.),27,2,좋아요,10.0
3257,장주(掌珠),로맨스,의지지,(2024.05.10.),(2024.05.10.),279,112,1,9.7
3258,솜뭉치 아기 여우는 미친 흑막만 깨물어요 [독점],로판,권라엘,(2024.03.08.),(2024.05.10.),125,119,5,9.4
3259,방구석 네크로맨서 [독점],판타지,차재현,(2023.10.17.),(2024.05.10.),200,331,4,7.7
3260,금수저 생활백서 [단행본],현판,강동호,(2024.05.10.),(2024.05.10.),28,0,좋아요,10.0
3261,과금을 유도했다가 빙의한 건에 대하여 [BL][단행본],BL,누룽지펭귄,(2024.05.10.),(2024.05.10.),4,0,좋아요,0.0
3262,과금을 유도했다가 빙의한 건에 대하여 [BL],BL,누룽지펭귄,(2024.05.10.),(2024.05.10.),124,0,좋아요,0.0
3263,전쟁영웅 말고 배우가 하고 싶습니다 [BL],BL,깅엄체크펭귄,(2024.05.10.),(2024.05.10.),169,0,좋아요,0.0
3264,중생지금수적녀,로맨스,취풍마,(2024.05.10.),(2024.05.10.),644,340,좋아요,10.0
3265,중생지금수적녀 20권 [단행본],로맨스,취풍마,(2024.05.10.),(2024.05.10.),1,0,좋아요,0.0
3266,19금,19금,19금,19금,19금,19금,19금,19금,19금
3267,중생지금수적녀 1~19권 [단행본],로맨스,취풍마,(2024.05.10.),(2024.05.10.),19,2,좋아요,10.0
3268,미칠 때까지 [선공개],로맨스,유라떼,(2021.11.10.),(2024.05.10.),91,"2,024",30,8.6
3269,무지개를 보는 천재마법사 [독점],판타지,얼음커피,(2023.03.07.),(2024.05.09.),341,"2,812",48,9.7
3270,19금,19금,19금,19금,19금,19금,19금,19금,19금
3271,연기파 천재작가는 회귀가 필요없다,현판,테르치,(2024.01.05.),(2024.05.09.),200,212,6,9.0
3272,은퇴 성녀가 집값 올려드립니다 [독점],로판,단디,(2023.11.27.),(2024.05.09.),173,"1,300",17,9.6
3273,미친괴물복서가 되었다.,현판,김창용,(2024.02.08.),(2024.05.09.),172,21,1,7.3
3274,특별한 면접(개정판),로맨스,에플로레스,(2024.05.09.),(2024.05.09.),181,1,1,10.0
3275,증오라 쓰고 사랑이라 읽는다.,로맨스,에플로레스,(2024.05.08.),(2024.05.09.),158,0,1,10.0
3276,한국인이 북미 서버를 점령함,현판,도도새사촌,(2023.12.20.),(2024.05.09.),203,786,6,7.7
3277,미국 재벌가 천재 사생아,현판,서야,(2024.03.25.),(2024.05.09.),221,63,6,9.1
3278,가면꽃 작가님,로판,작은밤,(2024.05.09.),(2024.05.09.),191,0,좋아요,0.0
3279,가시꽃의 이중주,로맨스,나자혜,(2024.05.09.),(2024.05.09.),113,0,좋아요,0.0
3280,우리들의 시간꽃,로맨스,나자혜,(2024.05.09.),(2024.05.09.),49,0,좋아요,0.0
3281,어떤 시체의 레벨업 [독점],판타지,낙하성,(2024.02.20.),(2024.05.09.),89,925,22,8.8
3282,잼잼,로맨스,은서정,(2024.05.09.),(2024.05.09.),60,146,좋아요,8.9
3283,어느날 갑자기 작전이 보인다 [단행본],현판,드렁컨66,(2024.05.09.),(2024.05.09.),11,0,좋아요,9.3
3284,"스타셰프, 분식점 아들되다",현판,맛있는요리,(2024.05.09.),(2024.05.09.),136,2,좋아요,9.3
