,제목,장르,작가,연재 시작일,마지막 연재일,연재수,댓글수,추천수,평점,Site
245,반드시 죽어야 할 운명 BL,로맨스,낫이콜,2024-06-27,2024-06-27,206,0,0,0.0,NaverSeries
246,다시 사는 프로게이머,현판,2000트럼,2023-12-19,2024-06-27,224,171,9,8.9,NaverSeries
247,바다에서 올라온 아이돌,현판,명성운,2024-04-30,2024-06-27,68,439,1,9.6,NaverSeries
248,유령 황자의 신부,로판,하얀돌멩,2024-05-03,2024-06-27,155,156,2,9.6,NaverSeries
249,삼국지: 최후의 황제,판타지,산문,2022-09-28,2024-06-27,583,4508,26,7.3,NaverSeries
250,이세계로 퇴근한 김대리,판타지,가초남,2023-12-26,2024-06-27,183,68,14,8.8,NaverSeries
251,홀로 남은 용이 몸을 숨김,판타지,궁수자리,2024-02-20,2024-06-27,164,312,3,9.6,NaverSeries
252,괴물 대공가에 납치된 것 같습니다,로판,칸나꽃,2024-03-08,2024-06-27,126,152,2,8.9,NaverSeries
253,보험왕이 장보고를 업어 키움,판타지,두루미야,2024-04-09,2024-06-27,123,64,20,9.3,NaverSeries
254,천마를 베고 회귀 탈출,무협,천영,2024-05-07,2024-06-27,61,28,1,8.1,NaverSeries
255,꿀벌을 주웠더니 각성했다 무료연재,현판,신광호,2024-05-21,2024-06-27,47,359,4,9.2,NaverSeries
256,빼앗긴 마법명가의 환생 가주 무료연재,판타지,피키콜드,2024-06-11,2024-06-27,26,64,14,9.0,NaverSeries
257,암흑가에서 눈을 뜬 소드마스터 무료연재,판타지,동경,2024-06-25,2024-06-27,12,18,9,8.9,NaverSeries
258,무림공적으로 살아남기,무협,기신,2023-02-07,2024-06-27,458,259,4,9.1,NaverSeries
259,천마는 평범하게 살 수 없다,판타지,산천,2020-09-30,2024-06-27,642,33707,681,9.3,NaverSeries
260,천재의 신들린 게임방송,현판,믿고보는,2022-03-30,2024-06-27,730,20887,153,9.8,NaverSeries
261,전생혈마,현판,산천,2024-01-02,2024-06-27,201,1201,5,8.7,NaverSeries
262,아포칼립스 사전으로 살아남는 법,현판,산일(山日),2024-04-09,2024-06-27,89,102,2,7.8,NaverSeries
263,마탑의 문제아들,판타지,제리엠,2024-05-14,2024-06-27,54,649,12,9.3,NaverSeries
264,광공의 가족이 되었습니다,로판,기둘기,2024-05-11,2024-06-27,130,197,5,8.2,NaverSeries
265,네가 망가지길 바라,로판,파민쿠,2024-06-15,2024-06-27,102,94,2,8.9,NaverSeries
266,가짜 아내에게 왜 집착하세요?,로판,DD,2024-06-27,2024-06-27,5,0,0,0.0,NaverSeries
267,멜로는 체질이 아니라서,로맨스,이은비,2024-06-27,2024-06-27,3,0,0,0.0,NaverSeries
268,멜로는 체질이 아니라서 외전,로맨스,이은비,2024-06-27,2024-06-27,1,0,0,0.0,NaverSeries
269,검귀환동,무협,정대영,2024-01-30,2024-06-27,147,123,9,7.3,NaverSeries
270,황궁의 망나니는 기획 천재,판타지,대작박가,2024-03-26,2024-06-27,133,96,10,9.3,NaverSeries
271,마지막 생존자가 회귀했다,판타지,지원,2024-04-09,2024-06-27,79,125,4,8.1,NaverSeries
272,클리셰로부터 살아남는 법,판타지,구짱구,2024-04-23,2024-06-27,75,208,1,9.1,NaverSeries
273,마왕군 사천왕이 되었다,판타지,시몬느,2024-05-14,2024-06-27,54,67,14,9.0,NaverSeries
274,재능 막내는 형들과 데뷔합니다 무료연재,현판,믈두루미,2024-06-25,2024-06-27,12,42,5,9.5,NaverSeries
275,너를 황제로 만들겠다,로판,이뚜언,2024-05-24,2024-06-27,104,324,12,9.7,NaverSeries
276,호감도로 스킬 복사! 무료연재,판타지,리틀빅,2024-05-28,2024-06-27,40,374,5,9.3,NaverSeries
277,멸망한 세계의 포식자 무료연재,현판,불성실인간,2024-06-04,2024-06-27,33,15,0,8.2,NaverSeries
278,시한부인데 흑막을 꼬시는 중입니다,로판,도유하,2024-03-30,2024-06-27,151,425,2,9.7,NaverSeries
279,연애 보는 황제폐하,로판,윈델,2024-01-12,2024-06-27,144,50,13,9.9,NaverSeries
280,망돌이어도 복합니다,현판,오마이글,2023-12-26,2024-06-27,193,102,11,8.7,NaverSeries
281,로어 가디언,판타지,유민재,2024-03-19,2024-06-27,126,454,14,9.7,NaverSeries
282,수인 아기님들이 나를 너무 좋아해,로판,윤조,2024-04-26,2024-06-27,132,102,5,9.9,NaverSeries
283,아카데미의 구마 총장이 되었다,판타지,이준영,2024-04-16,2024-06-27,82,61,5,9.1,NaverSeries
284,등선하는 무공 천재,무협,무동이,2024-05-07,2024-06-27,116,648,10,9.5,NaverSeries
285,벤츠 타는 마법사,판타지,정주(丁柱),2024-06-27,2024-06-27,161,0,0,1.0,NaverSeries
286,빌어먹을 도시의 검성 무료연재,판타지,말린회,2024-06-25,2024-06-27,12,4,0,8.7,NaverSeries
287,남편의 말대로 정부를 들였다,로판,유해나,2024-06-27,2024-06-27,6,0,0,10.0,NaverSeries
288,광룡이계전생,판타지,시준,2023-02-14,2024-06-27,474,4120,19,8.8,NaverSeries
289,망겜 속 말병사,판타지,열시오분,2024-05-07,2024-06-27,61,137,2,8.8,NaverSeries
290,완벽한 이혼을 위하여,로맨스,흰앵초,2024-06-27,2024-06-27,85,0,0,0.0,NaverSeries
291,너냐? 내 최애를 죽인 게 BL,로맨스,구바,2024-06-27,2024-06-27,88,0,0,0.0,NaverSeries
292,나는 천마다,무협,더페이스,2023-09-19,2024-06-27,274,190,5,7.6,NaverSeries
293,환생 아이돌 그룹의 천마 매니저님,현판,gonnagetya,2023-11-07,2024-06-27,224,62,1,7.5,NaverSeries
294,성기사는 마녀를 입양했다,판타지,화봉,2024-04-23,2024-06-27,124,314,26,9.4,NaverSeries
295,스파이는 오늘부로 배우합니다 무료연재,현판,서초,2024-06-04,2024-06-27,33,88,8,9.7,NaverSeries
296,도루 천재가 장타력을 숨김 무료연재,현판,녹차밀크잼,2024-06-18,2024-06-27,19,51,3,7.3,NaverSeries
297,원작의 주인공들이 내게 집착한다,로판,여홍,2024-05-17,2024-06-27,109,47,8,9.3,NaverSeries
298,가비향,로맨스,류도하,2024-06-27,2024-06-27,3,0,0,0.0,NaverSeries
299,불하다 하더라도,로판,은하나,2024-03-27,2024-06-27,146,34,1,8.7,NaverSeries
300,조선에서 재벌 되기!,판타지,한만수,2024-04-23,2024-06-27,75,92,1,8.6,NaverSeries
301,"6,421번 빙의하고 귀환했다",현판,B군,2024-04-30,2024-06-27,120,305,11,8.7,NaverSeries
302,천마의 슬기로운 무당생활,무협,단홍,2024-05-07,2024-06-27,61,113,21,8.7,NaverSeries
303,폐하! 복수하면 이혼해 준다며!,로판,이세화,2024-05-18,2024-06-27,124,76,2,9.4,NaverSeries
304,물에 잠긴 아포칼립스,판타지,아케냥,2024-01-02,2024-06-27,196,70,2,8.2,NaverSeries
305,아카데미 수비검사가 되었다,판타지,미도라시,2024-02-13,2024-06-27,153,291,3,8.5,NaverSeries
306,벼락의 궤적을 쫓는 자,판타지,김현시,2024-03-26,2024-06-27,126,179,2,9.0,NaverSeries
307,대공님이 이렇게 치대도 되나요?,로판,플로시,2024-06-07,2024-06-27,94,64,2,9.9,NaverSeries
308,환생자는 편하게 살고 싶다 무료연재,판타지,RAS,2024-06-25,2024-06-27,12,7,3,8.0,NaverSeries
309,천 원짜리 재벌 무료연재,현판,구름맛양갱,2024-06-25,2024-06-27,12,13,3,9.5,NaverSeries
310,환생명왕 무료연재,무협,로토리,2024-06-25,2024-06-27,12,21,1,9.2,NaverSeries
311,멸운도록,무협,커틀피쉬,2024-01-23,2024-06-27,590,1914,19,8.8,NaverSeries
312,포식하는 1레벨 헌터,현판,무야호우,2023-12-26,2024-06-27,199,1109,8,8.3,NaverSeries
313,억까로 데뷔합니다,현판,고맴미,2024-03-19,2024-06-27,140,190,10,9.2,NaverSeries
314,눈 떠보니 괴물 천재무사,무협,파란거북,2024-03-26,2024-06-27,143,231,3,8.9,NaverSeries
315,최종보스의 힘을 가졌다,판타지,사디스틱,2024-04-09,2024-06-27,89,84,1,8.4,NaverSeries
316,흑마법사는 이렇게 생존합니다,현판,진대협,2024-04-16,2024-06-27,123,192,5,8.6,NaverSeries
317,게임 속 검술천재가 되었다,판타지,진서한,2024-04-16,2024-06-27,109,236,20,9.1,NaverSeries
318,투신귀환 무료연재,무협,북창,2024-05-21,2024-06-27,47,62,2,8.4,NaverSeries
319,희대의 관심사,로맨스,로즈빈,2024-06-27,2024-06-27,92,105,2,9.7,NaverSeries
320,수마수기,판타지,연우강남,2023-11-07,2024-06-27,522,193,4,6.9,NaverSeries
321,김 대리는 아이돌이 싫어,현판,퇴사연습생,2023-11-07,2024-06-27,273,17202,236,9.9,NaverSeries
322,검술명가의 야만전사,판타지,반루몽,2024-01-23,2024-06-27,196,34,4,7.1,NaverSeries
323,신마 환생하다,무협,녕해,2024-04-30,2024-06-27,68,56,8,8.1,NaverSeries
324,맛의 기억,현판,넥시트,2024-04-23,2024-06-27,75,294,4,9.4,NaverSeries
325,화룡 가문의 천재가 돌아왔다,판타지,만금,2024-04-30,2024-06-27,68,31,0,7.7,NaverSeries
326,패왕진천 무료연재,무협,구독중,2024-06-04,2024-06-27,33,26,1,9.2,NaverSeries
327,작가 때문에 먼치킨 무료연재,판타지,고랭지,2024-06-04,2024-06-27,33,29,0,7.8,NaverSeries
328,디펜스 게임의 군주가 되었다,판타지,고랭지,2024-01-30,2024-06-27,213,89,0,7.6,NaverSeries
329,탑랭커인데 주무기가 슬라임 무료연재,판타지,테로,2024-05-28,2024-06-27,40,19,3,9.0,NaverSeries
330,우주권력급 운영자 계정으로 강림 무료연재,판타지,탕아후루,2024-06-04,2024-06-27,33,175,3,9.1,NaverSeries
331,절세무혼,무협,뤄청동,2020-10-07,2024-06-27,1637,2073,25,6.1,NaverSeries
332,이번 앨범의 컨셉은 복수다,현판,야타96,2024-01-30,2024-06-27,178,56,3,6.7,NaverSeries
333,나는 마법탱커다,판타지,현연,2024-02-27,2024-06-27,149,139,1,8.3,NaverSeries
334,사천당가의 구제불능 망나니가 되었다,무협,은당혜,2024-04-02,2024-06-27,114,74,8,8.1,NaverSeries
335,왕의 힘으로 환생한다 무료연재,판타지,안소설,2024-05-21,2024-06-27,47,95,11,7.7,NaverSeries
336,황제의 특급 호위무사 무료연재,무협,백곰푸른달,2024-05-21,2024-06-27,47,23,4,9.6,NaverSeries
337,마교 대공자의 천재 스트리밍 무료연재,판타지,하루3빡,2024-06-11,2024-06-27,26,48,0,8.6,NaverSeries
338,무당이 세계관 최강들에게 신내림을 받음 무료연재,판타지,무화꽃란,2024-06-18,2024-06-27,19,68,4,8.6,NaverSeries
339,게임 속 바바리안으로 살아남기,판타지,정윤강,2021-03-31,2024-06-27,736,171206,1536,9.4,NaverSeries
340,무한 리필 플레이어,판타지,담백하,2024-03-26,2024-06-27,121,269,2,8.7,NaverSeries
341,사천당가 삼공자의 목표는 자연사,무협,지인,2024-05-07,2024-06-27,61,59,2,8.8,NaverSeries
342,잊혀진 마법사의 마법계 재구축 무료연재,판타지,투샷추가,2024-06-25,2024-06-27,12,26,7,8.6,NaverSeries
343,검술 아카데미의 대장장이,판타지,닷치,2023-11-21,2024-06-27,252,187,14,8.6,NaverSeries
344,내일이 없는 소드 마스터,판타지,TLT,2024-01-30,2024-06-27,210,772,19,8.0,NaverSeries
345,멸사무신전,무협,범스톤,2024-03-05,2024-06-27,154,183,9,8.5,NaverSeries
346,패왕유비,판타지,굿라이팅,2024-05-14,2024-06-27,54,212,2,9.6,NaverSeries
347,"빌어보세요, 대공 전하",로판,아우구로,2024-06-05,2024-06-27,96,17,3,8.8,NaverSeries
348,이번 생엔 네가 개다,로판,캐피어스,2024-06-14,2024-06-27,129,92,3,9.9,NaverSeries
349,민초의 시대 홍경래 평전,판타지,이윤규,2023-12-12,2024-06-27,231,189,2,8.3,NaverSeries
350,회귀사부,판타지,한미르,2024-01-30,2024-06-27,204,237,9,8.8,NaverSeries
351,악역의 생존권을 보장하라,판타지,세모네모,2024-01-30,2024-06-27,189,649,4,9.4,NaverSeries
352,치킨집부터 시작하는 연금술 라이프,현판,바르네트,2024-03-12,2024-06-27,144,284,6,8.8,NaverSeries
353,천하제일 상주,무협,지인,2023-09-05,2024-06-27,341,975,18,9.4,NaverSeries
354,버림받고 각성한 천재 경마 기수,현판,상어빨래판,2024-02-27,2024-06-27,151,95,0,8.3,NaverSeries
355,사술왕,무협,못거울,2024-03-05,2024-06-27,140,83,1,8.7,NaverSeries
356,마왕성 백수 라이프,판타지,현욱(顯旭),2024-03-12,2024-06-27,136,68,7,9.0,NaverSeries
357,내가 죽지 않기를 바라게 된 너에게,로판,유세유,2024-06-05,2024-06-27,102,7,1,9.4,NaverSeries
358,미친 S급들과 던전에 떨어졌다,로판,썰매,2024-05-11,2024-06-27,161,184,19,9.5,NaverSeries
359,성스러운 천마님 무료연재,판타지,몽환산책,2024-06-11,2024-06-27,26,58,8,8.3,NaverSeries
360,1분의 시간술사,판타지,기파랑歌,2019-10-31,2024-06-27,142,7,0,6.7,NaverSeries
361,A.I. 닥터,현판,한산이가,2020-04-29,2024-06-27,1537,54071,1193,9.8,NaverSeries
362,나 혼자 만렙 뉴비,판타지,메슬로우,2020-06-17,2024-06-27,812,57618,1605,9.5,NaverSeries
363,검래,무협,봉화희제후,2024-03-19,2024-06-27,228,260,5,8.5,NaverSeries
364,역천검성,무협,말하는토템,2024-04-30,2024-06-27,68,47,0,9.1,NaverSeries
365,흑막 해군제에게 집착당하는 해양대생입니다,로판,냥먕이,2024-05-25,2024-06-27,115,427,20,9.8,NaverSeries
366,먼치킨 헌터는 탑급 배우가 되고 싶다 무료연재,현판,일억뷰,2024-06-11,2024-06-27,26,70,15,9.6,NaverSeries
367,검황회귀,무협,불타는고구마,2024-04-16,2024-06-27,82,39,0,8.1,NaverSeries
368,E급 탱커의 비상,판타지,류다,2024-04-23,2024-06-27,75,131,6,7.3,NaverSeries
369,아포칼립스의 드루이드,판타지,민트참치,2024-04-16,2024-06-27,82,90,3,7.8,NaverSeries
370,나태한 연기 천재,현판,빅피쉬,2024-05-14,2024-06-27,54,200,3,8.7,NaverSeries
371,아이돌 마왕 무료연재,현판,도윤혁,2024-05-21,2024-06-27,47,186,4,9.5,NaverSeries
372,업보 청산하는 아이돌 무료연재,현판,은는이,2024-06-18,2024-06-27,19,125,2,6.9,NaverSeries
373,마왕님은 뷰맛집 카페사장 무료연재,현판,임진진,2024-06-18,2024-06-27,19,46,7,9.2,NaverSeries
374,게임 속 천재마법사로 살아남기 무료연재,판타지,탕짜면,2024-06-18,2024-06-27,19,34,0,8.0,NaverSeries
375,재벌집 3세가 전생을 각성함 무료연재,현판,과연그럴까,2024-06-18,2024-06-27,19,14,3,7.8,NaverSeries
376,황실 어린이집 선생님이 되었습니다,로판,조일구,2024-06-19,2024-06-27,107,17,4,9.5,NaverSeries
377,대겁주,무협,흑산노귀,2023-11-14,2024-06-27,629,1603,15,8.7,NaverSeries
378,맵핵 쓰는 선장님,판타지,녹색유자,2023-12-05,2024-06-27,268,521,6,9.1,NaverSeries
379,아라드의 빛: 먼저 걷는 자,판타지,이수백,2024-01-02,2024-06-27,211,1098,51,9.4,NaverSeries
380,버려진 황자로 편하게 사는 법,판타지,오프신,2024-04-02,2024-06-27,124,771,17,9.5,NaverSeries
381,마교 2인자가 망해가는 엘프 왕자로 환생함,판타지,404ER,2024-05-07,2024-06-27,61,63,3,7.2,NaverSeries
382,헌터 아카데미에서 조선 립을 외치다,판타지,그리부이,2024-05-14,2024-06-27,54,108,3,8.8,NaverSeries
383,이제 남의 세상까지 구하랍니다,로판,사핀,2024-06-01,2024-06-27,119,432,15,9.8,NaverSeries
384,검술 깎는 천재 고아 무료연재,판타지,설국길,2024-06-18,2024-06-27,19,38,2,9.2,NaverSeries
385,아포칼립스에서 반려동물과 살아남기 무료연재,현판,홍복,2024-06-18,2024-06-27,19,99,14,7.4,NaverSeries
386,"나의 숨결에, 서려",로판,달이을별,2024-03-20,2024-06-27,151,11,2,8.8,NaverSeries
387,귀환했는데 입대 전날이다,현판,황금비둘기,2021-06-17,2024-06-27,221,3089,191,8.9,NaverSeries
388,검은 머리 영국 의사,판타지,한산이가,2022-10-26,2024-06-27,531,17243,250,9.9,NaverSeries
389,S급 메카닉으로 게이트 재벌,현판,레몬맛치약,2023-12-19,2024-06-27,173,250,2,8.0,NaverSeries
390,헌터 아카데미 최상위 포식자가 되었다,현판,오무디,2024-03-12,2024-06-27,124,318,35,8.7,NaverSeries
391,천마제 무료연재,무협,백두혼,2024-06-18,2024-06-27,19,9,6,6.9,NaverSeries
392,아기천마 수신호위,무협,지인,2024-02-13,2024-06-27,175,105,0,8.8,NaverSeries
393,황후는 너나 하세요,로판,유리보,2024-02-07,2024-06-27,182,32,9,9.2,NaverSeries
394,저는 주인공이 아닙니다,판타지,도르,2024-04-16,2024-06-27,82,67,2,9.0,NaverSeries
395,특성 흡수 모험가로 미궁에서 살아남기,판타지,소성,2024-04-16,2024-06-27,82,89,1,7.0,NaverSeries
396,전쟁터로 출근합니다,현판,조가치,2024-04-23,2024-06-27,75,44,0,7.9,NaverSeries
397,아카데미로 런합니다 무료연재,판타지,눈제,2024-05-28,2024-06-27,40,36,1,8.2,NaverSeries
398,비도비천,무협,설봉,2023-05-09,2024-06-27,557,2238,25,8.1,NaverSeries
399,용의 흔적,판타지,콜라비,2024-04-30,2024-06-27,75,262,9,8.7,NaverSeries
400,악당 부하는 거부합니다,로판,키아르네,2024-05-13,2024-06-27,113,352,0,9.8,NaverSeries
401,끝내주는 야구감 김승리 무료연재,현판,강철바다,2024-05-28,2024-06-27,40,13,2,7.8,NaverSeries
402,"천재 무사, 마교에서 살아남기 무료연재",무협,윈난성,2024-05-28,2024-06-27,40,15,0,8.0,NaverSeries
403,맥주 장사로 인생 역전 무료연재,현판,장간조,2024-06-11,2024-06-27,26,22,5,9.2,NaverSeries
404,화산수호 무료연재,무협,이동규,2024-06-18,2024-06-27,19,38,4,8.8,NaverSeries
405,무림대교주,무협,제4장,2024-02-06,2024-06-27,188,392,7,9.3,NaverSeries
406,칼라디아의 늑대,판타지,시연우,2024-04-30,2024-06-27,116,505,15,9.0,NaverSeries
407,천재 흑마법사가 저주를 저축함 무료연재,판타지,냉동뱀,2024-05-21,2024-06-27,47,37,2,9.0,NaverSeries
408,SSS급 헌터도 물류창고 상하차 뜁니다 무료연재,판타지,TLT,2024-06-11,2024-06-27,26,104,5,8.0,NaverSeries
409,멸망한 세상의 대마법사 무료연재,판타지,글장고,2024-05-28,2024-06-27,40,74,3,8.1,NaverSeries
410,회귀 후 능력 흡수 네크로맨서 무료연재,판타지,눈에띄네,2024-06-04,2024-06-27,33,51,1,8.0,NaverSeries
411,빙의군주가 돌아왔다 무료연재,판타지,풀챵,2024-06-11,2024-06-27,26,18,3,8.7,NaverSeries
412,천재 가수가 재능을 안 숨김 무료연재,현판,염주,2024-06-11,2024-06-27,26,42,1,9.3,NaverSeries
413,그래서 영웅이 되기로 했습니다 무료연재,현판,나니자까,2024-06-11,2024-06-27,26,45,2,8.2,NaverSeries
414,1217 고려 3군 2부,판타지,뜨락에,2020-02-12,2024-06-27,747,2144,27,8.3,NaverSeries
415,현질로 농사짓는 역대급 스트리머,현판,캐플,2024-04-30,2024-06-27,68,329,5,8.8,NaverSeries
416,신들린 식당의 사장이 되었다,현판,태승,2024-04-30,2024-06-27,68,82,11,9.4,NaverSeries
417,이번 생은 아카데미 마법 천재,판타지,daybreak95,2024-05-14,2024-06-27,100,116,4,8.7,NaverSeries
418,아이돌 공략법으로 데뷔합니다 무료연재,현판,당근맛쿠키,2024-05-21,2024-06-27,47,281,5,9.6,NaverSeries
419,빙의자의 망겜 공략법 무료연재,판타지,루와이,2024-06-04,2024-06-27,33,34,13,7.9,NaverSeries
420,금강불괴 대채주,무협,가남,2022-08-24,2024-06-27,647,509,10,9.6,NaverSeries
421,악역을 강요받고 있는거다 무료연재,판타지,이룬,2024-05-21,2024-06-27,47,99,4,9.2,NaverSeries
422,만죄의 주인 무료연재,판타지,토이카,2024-05-21,2024-06-27,47,274,1,9.3,NaverSeries
423,그 영애의 슬기로운 성녀생활,로판,다은경,2023-02-24,2024-06-27,360,259,16,7.8,NaverSeries
424,성좌물 속 대기업으로 이직했습니다,판타지,뫼신,2023-09-26,2024-06-27,354,383,1,9.1,NaverSeries
425,악역이 권력을 잡으면 생기는 일,현판,곁은,2023-11-28,2024-06-27,199,192,10,8.5,NaverSeries
426,회귀해서 지존까지,현판,크레아,2024-05-15,2024-06-27,243,3,0,8.7,NaverSeries
427,사이버펑크 엑스트라 황태자,판타지,유호수,2024-04-16,2024-06-27,74,304,6,8.8,NaverSeries
428,일검존,무협,청란봉상,2020-08-05,2024-06-27,2730,5330,104,9.2,NaverSeries
429,언더그라운드 크리처,현판,물샘,2024-01-16,2024-06-27,179,70,15,7.4,NaverSeries
